"","YEAR","IMPORTS","EXPORTS","BALANCE"
"1",1992-01-01,12.3,30.6,18.3
"2",1993-01-01,3,39.1,36.1
"3",1994-01-01,3.4,46.4,43
"4",1995-01-01,9.9,41.7,31.8
"5",1996-01-01,26.9,49.8,22.9
"6",1997-01-01,4.7,42.8,38.1
"7",1998-01-01,25.1,50.3,25.2
"8",1999-01-01,30.5,44.8,14.3
"9",2000-01-01,45.5,43,-2.5
"10",2001-01-01,42.5,36.6,-5.9
"11",2002-01-01,45.7,27.8,-17.9
"12",2003-01-01,59.485404,33.31374,-26.171664
"13",2004-01-01,84.330883,60.914602,-23.416281
"14",2005-01-01,90.827263,69.32032,-21.506943
"15",2006-01-01,139.934121,67.840342,-72.093779
"16",2007-01-01,115.201403,75.769497,-39.431906
"17",2008-01-01,143.461589,156.687752,13.226163
"18",2009-01-01,80.390237,94.745252,14.355015
"19",2010-01-01,180.010405,191.351777,11.341372
"20",2011-01-01,158.180247,195.207824,37.027577
"21",2012-01-01,144.013452,241.089095,97.075643
"22",2013-01-01,96.532769,173.20763,76.674861
"23",2014-01-01,83.394462,184.502715,101.108253
"24",2015-01-01,44.936097,135.815547,90.87945
"25",2016-01-01,64.127974,158.02015,93.892176
"26",2017-01-01,91.182988,138.340637,47.157649
"27",2018-01-01,61.553347,196.668871,135.115524
"28",2019-01-01,65.643435,113.873655,48.23022
"29",2020-01-01,45.117098,93.177833,48.060735
"30",2021-01-01,27.561716,35.512232,7.950516
